item,itemLabel,metid,sitelinks,sitelink
http://www.wikidata.org/entity/Q20170246,Still Life: Balsam Apple and Vegetables,11734,1,https://en.wikipedia.org/wiki/Still_Life_-_Balsam_Apples_and_Vegetables
http://www.wikidata.org/entity/Q20170410,The Hermit (Il solitario),12110,2,https://en.wikipedia.org/wiki/The_Hermit_(Il_solitario)
http://www.wikidata.org/entity/Q20173383,Reapers Resting in a Wheat Field,12162,3,https://en.wikipedia.org/wiki/Reapers_Resting_in_a_Wheat_Field
http://www.wikidata.org/entity/Q20176465,The Writing Master,10828,2,https://en.wikipedia.org/wiki/The_Writing_Master
http://www.wikidata.org/entity/Q20178756,Hiawatha,12004,1,https://en.wikipedia.org/wiki/Hiawatha_(sculpture)
http://www.wikidata.org/entity/Q20183551,Portrait of Gerard de Lairesse,459082,4,https://en.wikipedia.org/wiki/Portrait_of_Gerard_de_Lairesse
http://www.wikidata.org/entity/Q43972414,Pavilion by the Lake,40429,9,https://en.wikipedia.org/wiki/Pavilion_by_the_Lake
http://www.wikidata.org/entity/Q68032395,Vase with Poet Zhou Dunyi,52777,1,https://en.wikipedia.org/wiki/Vase_with_Poet_Zhou_Dunyi
http://www.wikidata.org/entity/Q76380297,O-yoroi Armor of Ashikaga Takauji,22506,3,https://en.wikipedia.org/wiki/O-yoroi_Armor_of_Ashikaga_Takauji
http://www.wikidata.org/entity/Q2494850,The Funeral,436952,6,https://en.wikipedia.org/wiki/The_Funeral_(painting)
http://www.wikidata.org/entity/Q6728394,Madonna and Child,438754,8,"https://en.wikipedia.org/wiki/Madonna_and_Child_(Duccio,_Metropolitan)"
http://www.wikidata.org/entity/Q7761325,"The Rocky Mountains, Lander's Peak",10154,8,"https://en.wikipedia.org/wiki/The_Rocky_Mountains,_Lander%27s_Peak"
http://www.wikidata.org/entity/Q19905715,The Experts,436114,3,https://en.wikipedia.org/wiki/The_Experts_(painting)
http://www.wikidata.org/entity/Q19911841,Brigand and his wife in prayer,438673,1,https://en.wikipedia.org/wiki/Brigand_and_His_Wife_in_Prayer
http://www.wikidata.org/entity/Q19912798,The Banks of the Bièvre near Bicêtre,437512,3,https://en.wikipedia.org/wiki/The_Banks_of_the_Bi%C3%A8vre_near_Bic%C3%AAtre
http://www.wikidata.org/entity/Q19923930,Gilbert Stuart,10956,2,https://en.wikipedia.org/wiki/Gilbert_Stuart_(Goodridge)
http://www.wikidata.org/entity/Q19923962,A River Glimpse,10769,1,https://en.wikipedia.org/wiki/A_River_Glimpse
http://www.wikidata.org/entity/Q19924308,Lake George,11311,4,https://en.wikipedia.org/wiki/Lake_George_(John_Frederick_Kensett)
http://www.wikidata.org/entity/Q20169728,The Water Garden,14871,1,https://en.wikipedia.org/wiki/The_Water_Garden_(Childe_Hassam)
http://www.wikidata.org/entity/Q20169755,Cider Making,11619,4,https://en.wikipedia.org/wiki/Cider_Making_(painting)
http://www.wikidata.org/entity/Q20170619,The Falls of Niagara,11080,1,https://en.wikipedia.org/wiki/The_Falls_of_Niagara
http://www.wikidata.org/entity/Q20171231,Mountain Stream,12138,1,https://en.wikipedia.org/wiki/Mountain_Stream_(John_Singer_Sargent)
http://www.wikidata.org/entity/Q29910832,Quail and Millet,45734,2,https://en.wikipedia.org/wiki/Quail_and_Millet_(Kiyohara_Yukinobu)
http://www.wikidata.org/entity/Q2404992,Aristotle with a Bust of Homer,437394,19,https://en.wikipedia.org/wiki/Aristotle_with_a_Bust_of_Homer
http://www.wikidata.org/entity/Q3538918,Saint Lawrence Enthroned with Saints and Donors,436897,7,https://en.wikipedia.org/wiki/Alessandri_Altarpiece
